key,input,activity10
PWOKLGVLHXQYNY-UHFFFAOYSA-N,CCCCC(=O)OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,0.6485148514851485
AAVNKJHZCQBLFE-UHFFFAOYSA-N,CCOC1=CC=C2N=C(N(CCCN(C)C)C(=O)C3=CC=C4C(=C3)CCCC4)SC2=C1.Cl,0.5965346534653465
VDUWUDNNQOTQJY-UHFFFAOYSA-N,C1=CC2=CC(C3=C(C4=CSC=C4)ON=C3C3=CC=C4C(=C3)OCO4)=CC=C2N1,0.3523102310231023
GKPVTQTVQVPDLH-VOTSOKGWSA-N,CCOC(=O)/C=C/C1=CC(CN2CCN(C3=CC=CC=N3)CC2)=CC(C(N)=O)=C1,0.4306930693069307
YVYVEXJFUOWVCK-UHFFFAOYSA-N,CCOC(=O)CCC1=CC=C(C2=CC=C(OC)C=C2)N1C1=CC=C(C(C)=O)C=C1,0.6654290429042905
JUEAHXPWDLGQON-RGKRWLCDSA-N,C[C@@]12CC3=CC=CC=C3CCC(CC3=CC=C(O)C=C13)C2N,0.5977722772277227
VBOOWEPYXWAHBC-UHFFFAOYSA-N,CC1=CC=CN2C(=O)C3=C(SC(C(=O)NCC(C)C)=C3)N=C12,0.34034653465346537
LRZXJAOUUBYAPE-UHFFFAOYSA-N,CC1=CC=C(C(=O)NC2=CC([N+](=O)[O-])=CC=C2F)S1,0.1707920792079208
ZOJSBJMHWGMYNM-UHFFFAOYSA-N,N#CC1=CC=CC=C1C1=CC=C(CN2C(C3=CSC=N3)=NC3=CC=C(Cl)C=C23)C=C1,0.7821782178217822
JHWUXMUHCFSXIS-OVCLIPMQSA-N,CCOC1=CC=C(C(=O)N/N=C/C2=CC([N+](=O)[O-])=CS2)C=C1,0.42029702970297034
GWNPRPOEZOJFHO-UHFFFAOYSA-N,OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1,0.35453795379537956
VGEVGTWKOGDMJH-UHFFFAOYSA-N,CCOC1=CC=C2C(=NN=CC3=CC=CC(OC)=C3)C=C(C)NC2=C1,0.558085808580858
WAIYJGWQTGVSJY-UHFFFAOYSA-N,C1=CC=C(P(=C2C3=CC=CC=C3C3=CC=CC=C23)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,0.844059405940594
ZDJDDHHJDNXZRV-GWHBCOKCSA-N,CN(C(=O)CCN1CCC(OC(=O)NC2=CC=CC=C2C2=CC=CC=C2)CC1)C1=CC=C(CC(=O)NCC2=CC=C(CCNC[C@H](O)C3=CC=C(O)C4=C3C=CC(=O)N4)C=C2)C=C1,0.5643564356435643
JKIRNPPDEQPHQE-UHFFFAOYSA-N,NCCCNCCCCNCCCCN1C(=O)C2=C3C(=CC=C2)C=CC=C3C1=O,0.7351485148514851
ZFZWERMXSWIPRQ-VWLOTQADSA-N,COC1=CC=C(C2=CC=CC(COC3=CC=C([C@H](CC(=O)O)C4=NC=CN4C)C=C3)=C2)C=C1,0.3564356435643564
HAOJSTOAECRQGW-WWQQVGJXSA-N,CCCCN(C)/C(CC)=N/C1=CC=C2C(=C1)C(=O)C1=CC=C(/N=C(\CC)N(C)CCCC)C=C1C2=O,0.6306930693069307
SRRZEMVAQOSBLB-UHFFFAOYSA-N,C1=CC=C(CCN2C3CCC2CC3)N=C1,0.6547854785478547
VPPPLAKILVBFMD-UHFFFAOYSA-N,CC1=CC2=C(C(=O)NCC3=CC=C(N4CCC(C5=CC=C(OC(F)(F)F)C=C5)CC4)C=C3)C(C)=NN2C=C1,0.7467821782178218
KPSNFOHNLPZDRP-NJSLBKSFSA-N,CC1=NOC(C)=C1NC(=O)NC1=CC=CC2=C1O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@@H](C)CO)C2=O,0.24422442244224424
RXXCIBALSKQCAE-UHFFFAOYSA-N,CC(C)CCOCC1=CC=CC=C1,0.5816831683168316
HJVRGNVSQKIHBY-UHFFFAOYSA-N,CCCCNC1=NN=C(CCN2N=C(C)C(Br)=C2C)S1,0.6658415841584159
WFVKABQFHLSPFH-INIZCTEOSA-N,CCN1N=CC(C2=NC3=C(N[C@H]4CCN(C(=O)C5CCOCC5)C4)N=CN=C3N2C)=C1C,0.3415841584158416
SZYQCCZQMOWZEU-UHFFFAOYSA-N,CC1=CC(C)=C(S(=O)(=O)N2CCOC23CCN(S(C)(=O)=O)CC3)C(C)=C1,0.24191419141914194
BJEPBULKEVIYBP-UHFFFAOYSA-N,CC(C)N1N=C(C2=CC=C3OC(N)=NC3=C2)C2=C(Br)N=C(N)N=C12,0.3811881188118812
LTBAVIKQCJGFGL-DPSVNRJGSA-N,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(S(=O)(=O)C2=CC=C(F)C=C2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0.2722772277227723
SXRKIFFGKQRXMR-UHFFFAOYSA-N,CC(C)COC(=O)N1CCCCC1C1=CC(C(=O)N2CCOCC2)=NO1,0.14727722772277227
YOQXJJARPAWPJV-UHFFFAOYSA-N,CC1CCCN(C(=O)C2=CC=C([N+](=O)[O-])O2)C1,0.13201320132013203
SOCFMKNDWIYRRR-UHFFFAOYSA-N,CCN(CC)C(=O)C1=C(C)C2=C(S1)N(CC(=O)NC1=CC=CC=C1)C(=O)N(C1=CC=C(OC)C=C1OC)C2=O,0.47607260726072603
CVAQCUFVFMUERM-UHFFFAOYSA-N,COC1=CC(C2=CC=C(OCCC(C)C)C=C2)=C(OC)C(O)=C1C1=CC=C(O)C=C1,0.5754950495049505
UYKWWWBGNUBPCF-VHXPQNKSSA-N,COCCCN1C(C2=CC=C(S(=O)(=O)N3CCOCC3)C=C2)=CS/C1=N\C1=CC=CC=C1,0.6006600660066006
TUVIKSUZLKLDRJ-UHFFFAOYSA-N,CC1=CC=CC(NC(=O)CN2CCC3=CC4=C(C=C3C2C)OCCCO4)=C1,0.47359735973597367
AIODKQYYALFNGH-OBGWFSINSA-N,COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(=O)OCC(=O)C1=CC=C(Br)C=C1,0.23844884488448845
ULKVTWZZSYMWKM-OUKQBFOZSA-N,CC12CC3CC(C)(C1)CC(/N=C(\N)NC1=CC=CC=C1/C=C/C1=CC=CC=C1)(C3)C2,0.5122347949080622
XXOCKOBQSMYTBC-UHFFFAOYSA-N,CC(=O)NC1=CC=C(OC(F)(F)C(F)F)C(NC(C)=O)=C1,0.15594059405940594
KJJYXWAOCHOXSO-UHFFFAOYSA-N,COC1=CC=C(N2C(=O)C3=CC=CC=C3N(CC3=CC=CC=C3F)C2=O)C=C1OC,0.7392739273927392
OCHUYZCQFZEMGU-UHFFFAOYSA-N,CC1=CC=C(C(=N)NOC(=O)C2=CC=C3C=CC=CC3=C2)C=C1,0.3605610561056106
VFJXXDCXLPMUBR-UHFFFAOYSA-N,O=C(C1=C(NC2=CC(Cl)=CC(Cl)=C2)NC2=C(Cl)C=CC([N+](=O)[O-])=C2C1=O)C1CC1,0.4166666666666667
AVJXKYISGXVRHY-UHFFFAOYSA-N,CC1(C)CC(C)(C)CC2(C1)NCC1=CC(C(C)(C)C)=CC(I)=C1O2,0.3628005657708628
WXZGKBGEDPBBPB-UHFFFAOYSA-N,O=C(COC1=CC=CC2=C1CNCC2)NCC(O)CN1CCC2=CC=CC=C2C1,0.4785478547854785
WJOFBCYZALIRKI-UHFFFAOYSA-N,O=C(C1=CC2=CC=CC=C2N1)N1CCN(CCOC2=CC=CN=C2)CC1,0.551980198019802
KRIRSNPOXFHZIB-UHFFFAOYSA-N,CCNC(=O)CC1=CC=C(C2=CC=CC=C2)C=C1,0.4366454502593116
BDLDSSMAHRDDGB-UHFFFAOYSA-N,CC(O)CCCCN1C(=O)C(CCOC2=CC=CC=C2CC(=O)O)OC2=CC=CC=C12,0.43019801980198025
GKKSHWWDZSJINW-UHFFFAOYSA-N,CNC(=O)C1=CC(OC2=CC=C3N=C(NC4=CC=C(C5=CC=CN=C5)C=C4)N=CC3=C2)=CC=N1,0.40717821782178215
WDMCNBXVZBAGKS-UHFFFAOYSA-N,CN(CC1=CC=CC=C1)C(=O)C1=CC2=C(C3=CC=CC=C3N(C)C2=O)S1,0.5264026402640264
DAEZZWXOBPFGQJ-UHFFFAOYSA-N,CS(=O)(=O)N1CCN(C(=O)C2=CC(C3=CC=CS3)=CS2)CC1,0.4658415841584158
GUERDLPJJJMIEU-UHFFFAOYSA-N,CC1=CC=CC(CCN)=C1,0.42574257425742573
PGLJEFBAXFMYBH-UHFFFAOYSA-N,CC1=CSC(CNC(=O)NC(C)C2=CC=C3C(=C2)OCCO3)=N1,0.2838283828382838
BKGCPRVFMYQBRH-KPKJPENVSA-N,C=C(/C=C/C(=O)NC1=CC=C(N)C=C1)CC1(C)CC2=CC=CC=C2C1=O,0.3415841584158416
DWBXNQKRJAOIHK-NRFANRHFSA-N,C=CC[C@H]1CN(C2CCCC2)C2=NC(NC3=CC=C(C(=O)NC4CCN(C)CC4)C=C3OC)=NC=C2N(C)C1=O,0.48960396039603965
ZAZULDNVGOECEO-VGVWILAUSA-N,CCOP(=O)(OCC)C(NC(=S)NC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3CC[C@@H]12)C1=CC=CC=C1F,0.3853135313531353
ZXWUBJASPQKEAN-UHFFFAOYSA-N,NC(=O)C1=CC2=CC(CC3=CC=CC=C3)=C(C(F)(F)F)N=C2N=C1N,0.3432343234323432
VJOQCICRCCURSU-UHFFFAOYSA-N,O=[N+]([O-])C1=NN(CCCN(CC2=CC=C(C(F)(F)F)C=C2)CC2=CC=C(C(F)(F)F)C=C2)C=N1,0.8844884488448844
KPAFCNXCULLUIL-UHFFFAOYSA-N,O=C(C1=CC=C(S(=O)(=O)NC2=CC=CC=C2)C=C1)N1CCCC(C(F)(F)F)C1,0.32673267326732675
GUSYYOQMHQNUSZ-UHFFFAOYSA-N,ClC1=CC=C(N=C2C=CN(CCCCCN3C=CC(=NC4=CC=C(Cl)C=C4)C=C3)C=C2)C=C1,0.9158415841584159
KKPGANILSLDBNG-UHFFFAOYSA-N,C=CCN1C(SCC(=O)NC2=CC(C)=C(Cl)C=C2OC)=NN=C1C1=CC=CO1,0.40148514851485145
AXTRRTMVQMYCRV-UHFFFAOYSA-N,CCCCCCN1C=NC2=C3C=CC=CC3=C3C(=C12)CCC(C)(C)O3,0.8090759075907591
BJWIPOMEOBTTJP-SRCKYBTLSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)NCCNC(=O)/C(C#N)=C/C5=CC=CC(Cl)=C5)CC[C@]4(C)[C@H]3CC[C@]12C,0.45998349834983493
KMLCAXOEHCQJRO-UHFFFAOYSA-N,CN(CCCC1=CNC2=CC=C(F)C=C12)C1COC2=CC=C3C(=C2C1)C(=O)NCC3,0.8201320132013202
YFFNJWCMUGIYOE-HXBUSHRASA-N,CC(=O)OCC1=C(C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)N2C(=O)[C@H](Cl)C2SC1,0.3415841584158416
JUFDKIHNAKWIPB-BXXZVTAOSA-N,O=C(O)C(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O,0.08803630363036305
NVOSPZNQVSARGS-UHFFFAOYSA-N,COC1=CC=C(OC(=O)C2=NC(SCC3=CC=CC=C3F)=NC=C2Cl)C=C1,0.30825082508250823
YUUYGPGETZPGDG-UHFFFAOYSA-N,FC1=CC=CC(CNCC2CN3N=NC=C3CO2)=C1,0.5346534653465347
AAGONDJNRDWVLR-SANMLTNESA-N,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(C2=O)CC2=C1N=C1C=CC(OC)=CC1=C2C1CCCC1,0.4158415841584158
ZELWNOUFNSTJBZ-UHFFFAOYSA-N,CCOC1=CC=C2N=C(NC(=O)C(=O)C(C(=O)C3=CC=CC=C3F)C3OC(=O)C4=CC=CC=C34)SC2=C1,0.3633663366336634
DVBXFRSRFUTZTN-UHFFFAOYSA-N,CCC1=CC=C(I)C(CC)=C1NC(=O)CN(CC(=O)O)CC(=O)O,0.14455445544554454
ICZJHRYDJKYLQD-YTZAWJCFSA-N,CO[C@H]1CN(C)C(=O)C2=CC=C(NC(=O)C3CC3)C=C2OC[C@H](C)N(C(=O)C2=CC=CC=N2)C[C@H]1C,0.27722772277227725
CXRJHASYZPXNEG-UHFFFAOYSA-N,CC1=C(Cl)C=CC=C1NC(=O)C1=CC(NC(=O)C2=CC=CC=C2C(F)(F)F)=CC2=C1N=C(C1CCCC1)N2,0.3712871287128713
MQKSZWYYHGTHIV-UHFFFAOYSA-N,CC(C)NS(=O)(=O)C1=CC=C(OCC(=O)NC2=CC=CC=C2F)C=C1,0.2524752475247525
FIRIFVVVVQIBLD-UHFFFAOYSA-N,CC1=NN(C2=CC=C(C(=O)O)C=C2)C(=O)CC1,0.13366336633663367
XVXCKHQWKUVAPE-UHFFFAOYSA-N,CC(NC(=O)C1=CC=C(S(N)(=O)=O)C=C1)C(=O)O,0.06930693069306931
IFDQXIBLGLRXER-KTIHBUSBSA-N,COC(=O)[C@@]12CCCN1[C@H](C1=CC=C(SC3CCCCC3)C=C1)[C@H]1C(=O)N(C)C(=O)[C@@H]21,0.18316831683168316
LWMHQSNCXDHONB-UHFFFAOYSA-N,O=C(C1=CC=CC=C1)N1CCN(S(=O)(=O)C2=CC=CS2)CC1,0.3803630363036304
KIBICQVMFUXHBE-UHFFFAOYSA-N,CCCN(CCN1CCN(C2=CC=CC=N2)CC1)C1CCC2=CC=C(O)C=C2C1,0.7054455445544554
HRWQNVARHISMJN-HTWIIDBLSA-N,CCCCNC(=O)CC(O)C(CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CN1CCC(C(N)=O)(C2=CC=CC=C2)CC1)[C@@H](C)CC,0.45792079207920794
NFASEKPXRUMCIX-UHFFFAOYSA-N,COC1=CC=CC(C2=CC(O)=C3C(=C2)CN(C(=O)C2CC2)CCO3)=C1,0.29826732673267325
ZKKQCCSHBYRQHR-UHFFFAOYSA-N,O=C(O)C(=O)C1CC2=CC=C([N+](=O)[O-])C=C2CN1S(=O)(=O)C1=CC=C(C2=CC=C(F)C=C2)C=C1,0.34405940594059403
BRAYPVFMFWTUKN-JOBXNTDGSA-N,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)CC[C@]34C)[C@@H]1CC[C@@H](N1C=NC3=C(N(CCO)CCO)N=C(Cl)N=C13)O2,0.43283828382838285
JMWXCKBNMITSIN-SJORKVTESA-N,CC1=NOC(C)=C1CN1CCO[C@H]2CN(CC3=CN(C)N=C3)C[C@@H]12,0.5684818481848185
FNEMLYLQYCOWSI-LICLKQGHSA-N,CN1C(C2=CC=C(Cl)C=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC(C)(C)C(=O)NC3=CC=C(/C=C/C(=O)O)C=C3)C=C12,0.3564356435643564
BUAPSNKVPWEGPA-SECBINFHSA-N,N[C@@H](CS)CC1=CC=CC=C1,0.23712871287128715
HXGOZZCNWIRGDR-UHFFFAOYSA-N,CN(C)C1=CC(C2=C(CC(=O)O)SC(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)=N2)=CC=N1,0.3155940594059406
